id,nome,equipamentos,servico
MC2180,ZEBRA MC2180,coletor,SV0001
MC3090,ZEBRA MC3090,coletor,SV0001
MC3190,ZEBRA MC3190,coletor,SV0001
MC32,ZEBRA MC32N0,coletor,SV0001
MC33,ZEBRA MC3300,coletor,SV0001
MC40,ZEBRA MC40,coletor,SV0001
MC9090,ZEBRA MC9090,coletor,SV0001
MC9190,ZEBRA MC9190,coletor,SV0001
MC92,ZEBRA MC92N0,coletor,SV0001
MC93,ZEBRA MC9300,coletor,SV0001
TC20,ZEBRA TC200,coletor,SV0001
TC21,ZEBRA TC210,coletor,SV0001
TC51,ZEBRA TC510K,coletor,SV0001
TC52,ZEBRA TC520K,coletor,SV0001
TC8000,ZEBRA TC8000,coletor,SV0001
TC8300,ZEBRA TC8300,coletor,SV0001
JOYA,DATALOGIC JOYA,coletor,SV0001
MEMOR X3,DATALOGIC MEMOR X3,coletor,SV0001
SKORPIO X3,DATALOGIC SKORPIO X3,coletor,SV0001
SKORPIO X,DATALOGIC SKORPIO X4,coletor,SV0001
SKORPIO X5,DATALOGIC SKORPIO X5,coletor,SV0001
EDA50,HONEYWELL EDA50,coletor,SV0001
EDA51,HONEYWELL EDA51,coletor,SV0001
CK3A1,HONEYWELLCK3A1,coletor,SV0001
CK3R,HONEYWELLCK3R,coletor,SV0001
CK3X,HONEYWELLCK3X,coletor,SV0001
CK65,HONEYWELLCK65,coletor,SV0001
CK70,HONEYWELLCK70,coletor,SV0001
CK71,HONEYWELLCK71,coletor,SV0001
CK75,HONEYWELLCK75,coletor,SV0001
C6000,CHAINWAYC6000,coletor,SV0001
PM451,POINT MOBILE PM451,coletor,SV0001
RT40,UROVO RT40,coletor,SV0001
BM180,Bluebird BM180,coletor,SV0001
PC43T,INTERMEC PC43T,impressora,SV0002
ZD220,ZEBRA ZD220,impressora,SV0002
ZD230,ZEBRA ZD230,impressora,SV0002
ZD420,ZEBRA ZD420,impressora,SV0002
GC420,ZEBRA GC420,impressora,SV0002
GK420,ZEBRA GK420,impressora,SV0002
TLP2844,ZEBRA TLP2844,impressora,SV0002
OS214,ARGOX OS214 TT,impressora,SV0002
OS214,ARGOX OS214 PLUS,impressora,SV0002
K80,TORNADO K80CUSTOM,impressora,SV0002
ELGIN I9,ELGIN I9,impressora,SV0002
L42,ELGIN L42,impressora,SV0002
MDK-022,TOMATE MDK-022,impressora,SV0002
PATHFINDER,PATHFINDER 6140,impressora,SV0003
ZQ520,ZEBRA ZQ520,impressora,SV0003
ZQ521,ZEBRA ZQ521,impressora,SV0003
IMZ220,ZEBBRA IMZ 220,impressora,SV0003
IMZ320,ZEBRA IMZ 320,impressora,SV0003
QLN,ZEBRA QLN 420,impressora,SV0003
QLN,ZEBBRA QLN 320,impressora,SV0003
PR3,INTERMEC PR3,impressora,SV0003
ZT410,ZEBRA ZT410,impressora,SV0004
ZT411,ZEBRA ZT411,impressora,SV0004
ZT230,ZEBRA ZT230,impressora,SV0004
ZT231,ZEBRA ZT231,impressora,SV0004
4206,ALEGRO FLEX 4206,impressora,SV0004
110XI3,ZEBRA 110XI3,impressora,SV0004
110XI4,ZEBRA 110XI4,impressora,SV0004
S4M,ZEBRA S4M,impressora,SV0004
ZM400,ZEBRA ZM400,impressora,SV0004
Z4M,ZEBRA Z4M,impressora,SV0004
PM42,HONEYWELL PM42,impressora,SV0004
LS2208,ZEBRA LS2208,leitor,SV0025
