id,nome
P1058930-012,CABECA DE IMPRESSAO GENUINE ZEBRA ZT420  /  ZT421 203 DPI
SV0076,MAO DE OBRA ACESS POINT | RFID
25-895468-12,CARCACA INFERIOR DA BASE DO LEITOR SYMBOL LS3578
SYMB-FRONT-COVER-67,CARCACA FRONTAL SYMBOL MK3190  /  MK3190
P1027135-022,"PLACA PRINCIPAL ZEBRA GX430T USB, SERIAL 300 DPI"
LUSTRA-MOVEIS,LUSTRA MOVEIS YPE 200ML
TRLTMNNT,TRIO LATA MINI 73X72 CM NATAL
INTERMEC-BUTTON-06,BOTAO LATERAL INTERMEC CK71
PY-X7301W-00,LCD POINT MOBILE PM451
MC36A0-0LN0CS-BR,COLETOR DE DADOS ZEBRA MC36A0 1D WIFI BLUETOOTH ANDROID
SIDE-COVER-6000,TAMPA LATERAL DATAMAX ALLEGRO PRO 6000
SM-A307GT,LCD COM TOUCH COM ARO PARA CELULAR SAMSUNG GALAXY A30S
DATALOGIC-TRIGGER-06,GATILHO PLASTICO PARA LEITOR DATALOGIC POWER SCAN M8300
CANULAROSCA,CANULA CANO ROSCA FERRO DE SOLDA ESTACAO
"P1089503-003	",FONTE DE ALIMENTACAO PARA IMPRESSORA ZEBRA ZQ520
90A052044,CABO DE COMUNICACAO USB DATATLOGIC QD2130  /  QD2100  /  GRYPHON
CYB-13622,"PLACA PRINCIPAL DATALOGIC SKORPIO X4 GUN WIN CE 7.0, WIFI"
SYMBOL-FLEX-CABLE100,CABO FLEX DO LCD COLOR DE (HIGH RESOLUTION) MOTOROLA MC9090K / MC9090G
809129-001,809129-001
KTG-ZT230-01,KIT TOGGLE BAR PARA IMPRESSORA ZEBRA ZT230 (SIMILAR)
OPT78-2829-02,PLACA WIFI ETHERNET DATAMAX M-CLASS MII 4206 ALLEGRO FLEX
SV0029,CONTRATO SERVICO / MANUTENCAO
G105910-072,SENSOR DA TAMPA ABERTA ZEBRA TLP2844  /  GC420T
SV0033,CUSTO EXCEDE 70% DO VALOR DO EQUIPAMENTO
